qDays;pricePerDay;paymentSum
1;20,00;20
2;19,16;38.32
3;18,76;56.28
4;15,48;61.9
5;13,88;69.41
6;12,82;76.91
7;12,06;84.41
8;11,49;91.92
9;11,48;103.32
10;11,41;114.08
11;10,70;117.7
12;10,49;125.87
13;10,31;134.04
14;10,04;140.58
15;10,00;149.98
16;9,71;155.29
17;9,62;163.47
18;9,54;171.64
19;9,46;179.81
20;9,32;186.35
21;9,26;194.53
22;9,14;201.04
23;9,09;209.14
24;9,05;217.25
25;8,95;223.74
26;8,92;231.84
27;8,83;238.33
28;8,80;246.43
29;8,72;252.92
30;8,63;259.00
31;8,63;267.48
32;8,63;276.06
33;8,59;283.63
34;8,58;291.86
35;8,57;300.00
36;8,57;308.46
37;8,48;313.86
38;8,49;322.74
39;8,45;329.64
40;8,42;336.81
41;8,39;344.01
42;8,36;351.18
43;8,33;358.39
44;8,31;365.6
45;8,29;372.83
46;8,26;380.04
47;8,24;387.29
48;8,22;394.53
49;8,20;401.8
50;8,18;409.05
51;8,16;416.34
52;8,15;423.63
53;8,13;430.93
54;8,12;438.22
55;8,10;445.54
56;8,09;452.85
57;8,07;460.2
58;8,06;467.52
59;8,01;472.32
60;7,98;479.00
61;7,95;485.11
62;7,91;490.39
63;7,87;495.64
64;7,83;500.96
65;7,79;506.23
66;7,73;510.24
67;7,69;515.54
68;7,66;520.84
69;7,63;526.14
70;7,59;531.46
71;7,56;536.76
72;7,53;542.12
73;7,50;547.44
74;7,47;552.76
75;7,44;558.13
76;7,41;563.47
77;7,39;568.83
78;7,36;573.7
79;7,32;578.59
80;7,29;583.46
81;7,23;585.35
82;7,24;593.71
83;7,21;598.6
84;7,18;603.46
85;7,16;608.32
86;7,13;613.18
87;7,10;618.06
88;7,08;622.92
89;7,06;628.31
90;7,04;633.72
91;7,00;636.8
92;6,95;639.6
93;6,91;642.41
94;6,86;645.19
95;6,82;648.01
96;6,78;650.84
97;6,74;653.62
98;6,70;656.44
99;6,66;659.27
100;6,62;662.07
101;6,58;664.89
102;6,55;667.72
103;6,51;670.56
104;6,47;673.39
105;6,44;676.23
106;6,41;679.07
107;6,37;681.9
108;6,34;684.76
109;6,31;687.59
110;6,28;690.45
111;6,25;693.3
112;6,22;696.19
113;6,19;699.03
114;6,16;701.88
115;6,13;704.78
116;6,10;707.63
117;6,07;710.5
118;6,05;713.4
119;6,02;716.25
120;5,99;719.14
121;5,97;722.06
122;5,94;724.91
123;5,92;727.8
124;5,89;730.72
125;5,87;733.59
126;5,85;736.5
127;5,82;739.39
128;5,80;742.31
129;5,78;745.22
130;5,75;748.13
131;5,73;751.06
132;5,71;753.97
133;5,69;756.9
134;5,67;759.81
135;5,65;762.75
136;5,63;765.68
137;5,61;768.63
138;5,59;771.56
139;5,57;774.51
140;5,55;777.44
141;5,53;780.39
142;5,52;783.34
143;5,50;786.31
144;5,48;789.26
145;5,46;792.22
146;5,45;795.17
147;5,43;798.14
148;5,41;801.11
149;5,40;804.12
150;5,38;807.07
151;5,36;810.04
152;5,35;813.03
153;5,33;816.01
154;5,32;819.0
155;5,30;821.99
156;5,29;824.98
157;5,27;827.98
158;5,26;830.99
159;5,25;833.98
160;5,23;836.99
161;5,22;840.01
162;5,20;843.02
163;5,19;846.04
164;5,18;849.05
165;5,16;852.08
166;5,15;855.1
167;5,14;858.13
168;5,13;861.15
169;5,11;864.2
170;5,10;867.24
171;5,09;870.27
172;5,08;873.32
173;5,07;876.36
174;5,05;879.44
175;5,04;882.47
176;5,03;885.53
177;5,02;888.6
178;5,01;891.66
179;5,00;894.73
180;4,99;899.00
181;4,97;900.18
182;4,96;903.62
183;4,95;905.55
184;4,93;907.47
185;4,92;909.37
186;4,90;911.29
187;4,88;913.24
188;4,87;915.13
189;4,85;917.03
190;4,84;918.95
191;4,82;920.88
192;4,81;923.53
193;4,80;926.23
194;4,79;928.93
195;4,78;931.62
196;4,77;934.32
197;4,76;937.04
198;4,75;939.77
199;4,74;942.45
200;4,73;945.16
201;4,71;947.07
202;4,70;949.78
203;4,69;952.51
204;4,68;955.22
205;4,67;957.98
206;4,66;960.67
207;4,65;963.4
208;4,64;966.13
209;4,64;968.86
210;4,63;971.6
211;4,61;973.51
212;4,61;976.28
213;4,60;978.99
214;4,59;981.74
215;4,58;984.49
216;4,57;987.25
217;4,56;989.98
218;4,55;992.75
219;4,55;995.5
220;4,54;998.27
221;4,53;1000.16
222;4,52;1002.92
223;4,51;1005.72
224;4,50;1008.47
225;4,49;1011.23
226;4,49;1014.00
227;4,48;1016.78
228;4,47;1019.57
229;4,46;1022.35
230;4,46;1025.15
231;4,45;1027.04
232;4,44;1029.82
233;4,43;1032.62
234;4,42;1035.4
235;4,42;1038.2
236;4,41;1041.00
237;4,40;1043.8
238;4,40;1046.6
239;4,39;1049.4
240;4,38;1052.22
241;4,38;1055.05
242;4,37;1057.83
243;4,36;1060.65
244;4,36;1063.47
245;4,35;1066.29
246;4,35;1069.11
247;4,34;1071.93
248;4,33;1074.78
249;4,33;1077.6
250;4,32;1080.42
251;4,32;1083.26
252;4,31;1086.1
253;4,30;1088.95
254;4,30;1091.79
255;4,29;1094.67
256;4,29;1097.48
257;4,28;1100.34
258;4,28;1103.2
259;4,27;1106.05
260;4,27;1108.91
261;4,26;1111.77
262;4,25;1114.64
263;4,25;1117.5
264;4,24;1120.37
265;4,24;1123.25
266;4,23;1126.12
267;4,23;1129.00
268;4,22;1131.87
269;4,22;1134.77
270;4,21;1137.64
271;4,21;1140.54
272;4,20;1143.43
273;4,20;1146.32
274;4,19;1149.22
275;4,19;1152.11
276;4,18;1155.02
277;4,18;1157.92
278;4,18;1160.83
279;4,17;1163.74
280;4,17;1166.66
281;4,16;1169.57
282;4,16;1172.48
283;4,15;1175.39
284;4,15;1178.32
285;4,14;1181.24
286;4,14;1184.17
287;4,14;1187.1
288;4,13;1190.03
289;4,13;1192.96
290;4,12;1195.91
291;4,12;1198.84
292;4,12;1201.79
293;4,11;1204.73
294;4,11;1207.68
295;4,10;1210.63
296;4,10;1213.58
297;4,10;1216.55
298;4,09;1219.5
299;4,09;1222.47
300;4,08;1225.25
301;4,08;1227.56
302;4,07;1230.53
303;4,07;1233.5
304;4,07;1236.48
305;4,06;1239.45
306;4,06;1242.43
307;4,06;1245.4
308;4,05;1248.39
309;4,05;1251.37
310;4,05;1254.36
311;4,04;1257.34
312;4,04;1260.35
313;4,04;1263.33
314;4,03;1266.34
315;4,03;1269.34
316;4,03;1272.35
317;4,02;1275.35
318;4,02;1278.36
319;4,02;1281.36
320;4,01;1284.39
321;4,01;1287.39
322;4,01;1290.41
323;4,00;1293.44
324;4,00;1296.46
325;4,00;1299.48
326;4,00;1302.53
327;3,99;1305.55
328;3,99;1308.59
329;3,99;1311.61
330;3,98;1312.6
331;3,97;1315.64
332;3,97;1318.67
333;3,97;1321.73
334;3,97;1324.77
335;3,96;1327.82
336;3,96;1330.86
337;3,96;1333.92
338;3,96;1336.97
339;3,95;1340.03
340;3,95;1343.09
341;3,95;1346.16
342;3,95;1349.22
343;3,94;1352.29
344;3,94;1355.37
345;3,94;1358.44
346;3,94;1361.52
347;3,93;1364.59
348;3,93;1367.67
349;3,92;1369.74
350;3,92;1372.81
351;3,91;1373.85
352;3,91;1375.9
353;3,90;1377.95
354;3,90;1382.07
355;3,90;1384.14
356;3,90;1388.26
357;3,89;1390.32
358;3,90;1394.45
359;3,89;1396.5
360;3,89;1399.00
361;3,89;1402.78
362;3,88;1404.6
363;3,87;1406.4
364;3,87;1408.2
365;3,86;1409.98
366;3,86;1411.76
367;3,85;1413.53
368;3,85;1416.5
369;3,85;1419.47
370;3,84;1422.44
371;3,84;1425.4
372;3,84;1428.36
373;3,84;1431.32
374;3,83;1433.03
375;3,83;1434.73
376;3,82;1436.42
377;3,81;1438.11
378;3,81;1439.78
379;3,80;1441.44
380;3,80;1443.1
381;3,79;1444.74
382;3,79;1446.37
383;3,78;1448.00
384;3,78;1450.87
385;3,77;1452.48
386;3,77;1454.08
387;3,76;1455.67
388;3,76;1457.24
389;3,75;1458.81
390;3,74;1460.37
391;3,74;1461.92
392;3,74;1464.74
393;3,73;1467.56
394;3,73;1470.37
395;3,73;1473.18
396;3,73;1475.98
397;3,72;1478.78
398;3,72;1481.57
399;3,72;1484.36
400;3,72;1487.14
401;3,72;1489.92
402;3,71;1491.39
403;3,71;1494.16
404;3,71;1496.92
405;3,70;1499.68
406;3,70;1502.43
407;3,70;1505.18
408;3,70;1507.92
409;3,69;1510.66
410;3,69;1513.39
411;3,69;1514.8
412;3,68;1517.52
413;3,68;1520.24
414;3,68;1522.95
415;3,68;1525.66
416;3,67;1528.36
417;3,67;1531.06
418;3,67;1533.76
419;3,67;1536.45
420;3,66;1539.13
421;3,66;1540.46
422;3,66;1543.13
423;3,65;1545.8
424;3,65;1548.47
425;3,65;1551.13
426;3,65;1553.78
427;3,65;1556.43
428;3,64;1559.08
429;3,64;1561.72
430;3,64;1564.35
431;3,63;1566.58
432;3,63;1569.21
433;3,63;1571.83
434;3,63;1574.44
435;3,63;1577.06
436;3,62;1579.66
437;3,62;1582.27
438;3,62;1584.86
439;3,62;1587.46
440;3,61;1590.05
441;3,61;1592.63
442;3,61;1595.21
443;3,61;1597.78
444;3,60;1600.35
445;3,60;1602.92
446;3,60;1605.48
447;3,60;1608.04
448;3,60;1610.59
449;3,59;1613.14
450;3,59;1615.68
451;3,59;1620.51
452;3,59;1624.04
453;3,59;1628.01
454;3,59;1630.54
455;3,59;1633.06
456;3,59;1635.59
457;3,58;1638.1
458;3,58;1640.61
459;3,58;1643.12
460;3,58;1645.62
461;3,58;1648.12
462;3,57;1650.62
463;3,57;1653.1
464;3,57;1655.59
465;3,57;1658.07
466;3,56;1660.54
467;3,56;1663.01
468;3,56;1665.48
469;3,56;1667.94
470;3,55;1670.39
471;3,55;1672.84
472;3,55;1675.29
473;3,55;1677.73
474;3,54;1680.17
475;3,54;1682.6
476;3,54;1685.03
477;3,54;1687.45
478;3,54;1689.87
479;3,53;1692.29
480;3,53;1694.69
481;3,53;1697.1
482;3,53;1699.5
483;3,52;1701.89
484;3,52;1704.28
485;3,52;1706.67
486;3,52;1709.05
487;3,51;1711.43
488;3,51;1713.8
489;3,51;1716.17
490;3,51;1718.53
491;3,50;1720.88
492;3,50;1723.24
493;3,50;1725.59
494;3,50;1727.93
495;3,50;1730.27
496;3,49;1732.6
497;3,49;1734.93
498;3,49;1737.26
499;3,49;1739.58
500;3,48;1741.89
501;3,48;1744.2
502;3,48;1746.51
503;3,48;1748.81
504;3,47;1751.11
505;3,47;1753.4
506;3,47;1755.69
507;3,47;1757.97
508;3,47;1760.25
509;3,46;1762.52
510;3,46;1764.79
511;3,46;1767.05
512;3,46;1769.31
513;3,45;1771.57
514;3,45;1773.82
515;3,45;1776.06
516;3,45;1778.3
517;3,44;1780.54
518;3,44;1782.77
519;3,44;1784.99
520;3,44;1787.22
521;3,43;1789.43
522;3,43;1791.64
523;3,43;1793.85
524;3,43;1796.06
525;3,43;1798.25
526;3,42;1800.45
527;3,42;1802.64
528;3,42;1804.82
529;3,42;1807.00
530;3,41;1809.17
531;3,41;1811.35
532;3,41;1813.51
533;3,41;1815.67
534;3,40;1817.83
535;3,40;1819.98
536;3,40;1822.13
537;3,40;1824.27
538;3,39;1826.41
539;3,39;1828.54
540;3,39;1832.27
541;3,39;1835.08
542;3,39;1837.2
543;3,39;1839.32
544;3,38;1841.43
545;3,38;1843.54
546;3,38;1845.64
547;3,38;1847.74
548;3,38;1849.83
549;3,37;1851.92
550;3,37;1855.63
551;3,37;1857.72
552;3,37;1859.79
553;3,37;1861.86
554;3,36;1863.93
555;3,36;1865.99
556;3,36;1868.05
557;3,36;1870.1
558;3,36;1872.15
559;3,35;1874.19
560;3,35;1877.88
561;3,35;1879.91
562;3,35;1881.95
563;3,35;1883.97
564;3,34;1885.99
565;3,34;1888.01
566;3,34;1890.02
567;3,34;1892.03
568;3,33;1894.03
569;3,33;1896.03
570;3,33;1899.69
571;3,33;1901.68
572;3,33;1903.67
573;3,33;1905.65
574;3,32;1907.62
575;3,32;1909.59
576;3,32;1911.56
577;3,32;1913.52
578;3,31;1915.48
579;3,31;1917.43
580;3,31;1921.06
581;3,31;1923.01
582;3,31;1924.95
583;3,31;1926.89
584;3,30;1928.82
585;3,30;1930.74
586;3,30;1932.66
587;3,30;1934.58
588;3,29;1936.49
589;3,29;1938.4
590;3,29;1942.00
591;3,29;1943.9
592;3,29;1945.8
593;3,28;1947.69
594;3,28;1949.57
595;3,28;1951.45
596;3,28;1953.33
597;3,28;1955.2
598;3,27;1957.07
599;3,27;1958.93
600;3,27;1962.5
601;3,27;1964.36
602;3,27;1966.21
603;3,26;1968.05
604;3,26;1969.89
605;3,26;1971.73
606;3,26;1973.56
607;3,25;1975.38
608;3,25;1977.21
609;3,25;1979.02
610;3,25;1982.56
611;3,25;1984.37
612;3,25;1986.18
613;3,24;1987.98
614;3,24;1989.77
615;3,24;1991.56
616;3,24;1993.35
617;3,23;1995.13
618;3,23;1996.9
619;3,23;1998.67
620;3,23;2002.19
621;3,23;2003.95
622;3,22;2005.71
623;3,22;2007.46
624;3,22;2009.21
625;3,22;2010.96
626;3,22;2012.69
627;3,21;2014.43
628;3,21;2016.16
629;3,21;2017.89
630;3,21;2021.37
631;3,21;2023.99
632;3,21;2025.7
633;3,20;2027.41
634;3,20;2029.11
635;3,20;2030.81
636;3,20;2032.51
637;3,19;2034.2
638;3,19;2035.88
639;3,19;2037.56
640;3,19;2041.02
641;3,19;2042.69
642;3,18;2044.36
643;3,18;2046.02
644;3,18;2047.68
645;3,18;2049.33
646;3,17;2050.98
647;3,17;2052.62
648;3,17;2054.26
649;3,17;2055.9
650;3,17;2059.32
651;3,17;2060.94
652;3,16;2062.57
653;3,16;2064.18
654;3,16;2065.8
655;3,16;2067.4
656;3,15;2069.01
657;3,15;2070.6
658;3,15;2072.2
659;3,15;2073.79
660;3,15;2077.17
661;3,14;2078.76
662;3,14;2080.33
663;3,14;2081.9
664;3,14;2083.47
665;3,14;2085.03
666;3,13;2086.59
667;3,13;2088.14
668;3,13;2089.69
669;3,13;2091.23
670;3,12;2092.77
671;3,12;2096.12
672;3,12;2097.65
673;3,12;2099.17
674;3,12;2100.69
675;3,11;2102.21
676;3,11;2103.72
677;3,11;2105.23
678;3,11;2106.73
679;3,10;2108.22
680;3,11;2111.55
681;3,10;2113.04
682;3,10;2114.52
683;3,10;2116.00
684;3,10;2117.47
685;3,09;2118.94
686;3,09;2120.41
687;3,09;2121.87
688;3,09;2123.32
689;3,08;2124.77
690;3,08;2128.06
691;3,08;2129.5
692;3,08;2130.94
693;3,08;2132.37
694;3,07;2133.8
695;3,08;2139.99
696;3,08;2143.01
697;3,08;2146.02
698;3,08;2149.02
699;3,08;2152.03
700;3,08;2158.76
701;3,08;2161.77
702;3,08;2164.77
703;3,08;2166.17
704;3,08;2170.76
705;3,08;2173.76
706;3,08;2176.75
707;3,08;2178.13
708;3,08;2179.51
709;3,08;2180.88
710;3,07;2182.25
711;3,07;2185.5
712;3,07;2186.86
713;3,07;2188.22
714;3,07;2189.57
715;3,06;2190.91
716;3,06;2192.25
717;3,05;2193.59
718;3,05;2194.92
719;3,05;2195.83
720;3,05;2199.00
